ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
8311000,2534.3418,1.0226724,2485.9121,42.166462,2314.8589,26.56666,2711.855,8.8459415,2992.2949,62.496754,3365.8665,129.64676,3801.8354,120.20714,3658.7671,164.29842,3825.3662,145.41182,4524.9897,227.13637,4758.5347,177.63556,4847.9712,151.55603,5246.1572,151.77051,5822.5327,171.85625,6182.0913,338.88324,5780.4951,155.845,5446.314,22.344275
8315003,2882.2273,38.94371,2887.2219,112.10241,2406.6885,174.2883,3146.6643,151.91733,3392.635,54.697144,3739.1445,171.60039,4147.9756,290.42609,4402.5298,186.4071,4268.8608,146.40128,4681.5684,252.79234,4949.647,704.43066,5058.8838,156.9697,5640.8809,336.61783,6496.1382,216.22594,7779.2651,392.02771,6514.0234,186.08038,5693.8477,193.97821
8315004,1731.5427,90.716072,1795.6263,53.65131,1828.2457,6.6361723,1765.9309,29.90827,1892.0719,65.453217,1838.1436,86.909241,2077.7966,63.160511,2548.144,33.632843,2751.9509,86.09549,3113.2773,76.006897,3036.8748,136.87457,3218.802,66.598686,3443.1519,19.627138,3848.5313,67.868141,4014.396,265.75888,5008.4956,165.93428,4453.8662,25.035248
8315006,2091.5408,26.914993,2234.6062,41.763218,2075.6404,43.542995,2248.2795,8.7807341,2298.7419,50.093876,2294.4316,66.653755,2604.4731,190.50055,2831.7119,84.655502,3194.3953,11.510745,3245.9004,80.80146,3661.334,100.97913,3856.7163,111.2569,4138.1895,51.53664,5186.4937,103.33198,5081.7075,310.0473,4203.7451,176.92963,4665.626,245.4937
8315007,2098.4194,110.84528,2106.7529,88.075127,2015.3712,122.626,2022.7991,181.35834,2128.9822,189.67917,2107.3367,124.95867,2372.4739,93.43103,2458.6106,67.53508,2741.5073,9.2854071,2943.6438,181.53329,3054.283,74.58847,3301.5747,19.049538,3220.0105,22.530043,3679.0442,211.18645,4157.417,45.319046,5423.8301,152.30266,4250.856,53.485538
8315008,1897.0555,244.27455,2095.429,267.54523,1760.531,206.11978,2062.7349,200.04889,2034.672,188.80956,2207.689,195.47137,2516.3621,540.69702,2738.5903,203.25644,2453.5938,306.21301,3320.3296,379.63467,2916.5391,174.85924,3231.1575,307.02887,3197.094,217.71776,4327.9414,540.66656,4572.7129,296.76627,4268.9165,567.42773,4266.2388,495.08597
8315013,1764.0969,.076569475,1929.1909,93.292633,1778.9811,117.12846,1875.1744,23.053677,1900.1984,5.6231399,1882.257,292.64801,2089.8645,202.2995,2322.054,353.26306,2308.4878,196.71165,2422.0747,334.60971,2820.7197,110.98405,3100.7598,347.69232,3215.4102,301.67505,3620.5273,397.17773,3477.6658,114.62002,3525.8779,207.76675,3511.5859,68.531715
8315014,2507.8425,220.90053,2397.9128,33.875263,2028.6499,321.50235,2237.8765,109.51369,2396.8372,751.17004,2555.8755,108.7085,3243.9243,680.22675,3579.6941,216.83299,3394.5947,572.11951,3703.7771,332.51862,2567.0891,2.0591502,3936.0457,11.382076,3931.3,888.83435,4141.3218,925.33215,5109.1411,1872.3326,4763.7373,1061.6356,4935.7065,326.16873
8315015,1880.5071,169.30714,1891.9424,265.28796,1925.0992,189.56653,2068.8914,182.0954,2041.1855,170.49698,2119.8613,165.14955,2362.4675,176.43855,2483.7683,235.37114,2595.8213,174.41312,2968.4915,143.26749,2644.7205,51.683701,3029.7244,232.41869,3968.5264,617.19421,4380.8853,94.317192,4236.1294,88.558739,4521.9282,614.23755,4193.3623,332.03043
8315016,2382.1509,227.77888,2345.1216,226.71678,2358.0674,182.88789,2312.8926,68.421005,2434.1423,66.699394,2447.9448,20.11599,2452.2395,212.38118,2366.0767,56.406544,2457.1907,21.590355,3168.1736,248.63744,3770.2891,454.5105,3571.6096,127.76459,4623.0557,578.85736,4106.8496,157.11209,4269.7188,103.14203,4441.9736,417.91519,4868.8301,83.042648
8315020,2680.7546,210.36349,2543.6208,275.79483,2447.2649,241.84689,2775.3975,49.677135,3184.9006,167.63914,3734.8481,255.345,4015.1121,481.46292,3808.417,577.39618,3839.7805,65.027542,4951.7407,660.2641,5625.5024,812.81787,4947.2944,395.70248,6214.4648,785.40137,5169.439,216.74458,5352.5054,41.232346,5488.2275,292.99805,4796.5225,251.74323
8315022,1782.2501,44.274075,1882.3236,61.723412,1743.7451,96.317757,1786.4644,14.707348,1774.5527,43.004768,1669.0344,174.12675,1724.6121,174.73662,2123.5923,12.645302,2493.7866,78.589371,2942.1069,348.19199,2465.9534,152.34288,2862.0007,174.79718,2670.5327,246.48416,2948.7192,119.15185,4403.3901,434.45782,5692.0557,42.459118,4072.2761,67.435547
8315028,2572.3186,79.754822,2382.5945,76.742439,2133.0813,168.50581,2582.6536,151.5211,2807.0464,52.933067,2767.2668,44.426983,3328.8911,230.22253,3500.5256,259.58435,3639.9883,40.879318,3712.6267,167.63525,3998.6907,422.68265,4309.4751,53.372627,4366.1616,147.18105,5202.6084,191.71901,6410.269,283.70886,5597.7144,114.51205,5259.6494,371.90741
